Order_ID,Order_Date,Region,Segment,Category,Product,Quantity,Unit_Price,Discount,Sales,Profit,Ship_Mode
ORD-1000,2024-01-01,South,Consumer,Technology,Printer,1,7069.17,0.1,6362.25,1169.73,Standard
ORD-1001,2024-01-01,North,Consumer,Furniture,Executive Desk,1,9777.95,0.0,9777.95,1869.4,Standard
ORD-1002,2024-01-01,North,Small Business,Technology,Bluetooth Speaker,1,1856.36,0.0,1856.36,349.6,Standard
ORD-1003,2024-01-01,West,Corporate,Furniture,Bookshelf,1,3486.71,0.05,3312.37,558.27,Standard
ORD-1004,2024-01-01,North,Consumer,Home Appliances,Mixer Grinder,1,3637.92,0.0,3637.92,687.95,Express
ORD-1005,2024-01-02,East,Small Business,Office Supplies,Desk Organizer,1,488.67,0.0,488.67,141.52,Express
ORD-1006,2024-01-02,West,Corporate,Technology,Wireless Mouse,1,710.93,0.05,675.39,79.43,Standard
ORD-1007,2024-01-02,North,Consumer,Office Supplies,Ballpoint Pens,1,87.55,0.0,87.55,25.38,Standard
ORD-1008,2024-01-02,East,Corporate,Technology,Wireless Mouse,1,611.56,0.15,519.82,79.18,Standard
ORD-1009,2024-01-03,East,Corporate,Home Appliances,Vacuum Cleaner,1,8702.56,0.2,6962.04,1635.32,Standard
ORD-1010,2024-01-03,East,Corporate,Furniture,Sofa Set,1,20936.11,0.0,20936.11,2947.58,Standard
ORD-1011,2024-01-04,West,Consumer,Furniture,Filing Cabinet,2,5190.39,0.0,10380.78,1650.29,Standard
ORD-1012,2024-01-04,West,Corporate,Home Appliances,Electric Kettle,1,1403.05,0.0,1403.05,268.9,Standard
ORD-1013,2024-01-05,South,Consumer,Home Appliances,Air Fryer,1,6245.07,0.1,5620.56,994.51,Standard
ORD-1014,2024-01-05,West,Consumer,Home Appliances,Vacuum Cleaner,2,8671.99,0.2,13875.18,3416.69,Standard
ORD-1015,2024-01-05,South,Consumer,Technology,Laptop,1,49426.64,0.05,46955.3,4467.7,Standard
ORD-1016,2024-01-05,South,Corporate,Furniture,Sofa Set,1,21012.62,0.05,19961.99,3778.2,Express
ORD-1017,2024-01-05,East,Consumer,Home Appliances,Room Heater,1,2687.92,0.05,2553.52,519.84,Express
ORD-1018,2024-01-06,East,Corporate,Furniture,Bookshelf,1,3074.46,0.05,2920.74,430.62,Standard
ORD-1019,2024-01-06,South,Corporate,Furniture,Office Chair,1,4419.82,0.0,4419.82,813.89,Express
ORD-1020,2024-01-06,North,Corporate,Technology,Bluetooth Speaker,1,1827.61,0.0,1827.61,181.5,Express
ORD-1021,2024-01-07,West,Corporate,Technology,Wireless Mouse,1,708.0,0.2,566.4,67.06,Standard
ORD-1022,2024-01-07,East,Corporate,Office Supplies,Notebook Pack,1,230.6,0.0,230.6,69.77,Express
ORD-1023,2024-01-07,South,Corporate,Home Appliances,Air Fryer,1,6309.47,0.05,5994.0,1280.52,Express
ORD-1024,2024-01-07,North,Small Business,Home Appliances,Electric Kettle,2,1447.05,0.1,2604.68,521.62,Standard
ORD-1025,2024-01-07,South,Consumer,Office Supplies,Ballpoint Pens,1,83.19,0.05,79.03,22.74,Express
ORD-1026,2024-01-07,West,Consumer,Office Supplies,Notebook Pack,2,219.36,0.2,350.97,128.58,Standard
ORD-1027,2024-01-07,North,Consumer,Furniture,Office Chair,1,4230.87,0.0,4230.87,717.0,Standard
ORD-1028,2024-01-07,East,Corporate,Home Appliances,Electric Kettle,1,1537.49,0.0,1537.49,310.32,Standard
ORD-1029,2024-01-07,South,Small Business,Furniture,Executive Desk,2,9991.17,0.0,19982.35,3436.53,Standard
ORD-1030,2024-01-07,West,Small Business,Office Supplies,Desk Organizer,1,478.66,0.05,454.73,154.7,Standard
ORD-1031,2024-01-08,East,Consumer,Home Appliances,Room Heater,4,2784.62,0.15,9467.71,1657.09,Standard
ORD-1032,2024-01-08,West,Consumer,Technology,Bluetooth Speaker,1,1905.48,0.0,1905.48,290.18,Standard
ORD-1033,2024-01-08,West,Consumer,Furniture,Filing Cabinet,1,5102.48,0.0,5102.48,1158.03,Standard
ORD-1034,2024-01-08,South,Corporate,Technology,Bluetooth Speaker,1,1681.42,0.0,1681.42,313.19,Standard
ORD-1035,2024-01-09,North,Consumer,Furniture,Executive Desk,3,10141.91,0.05,28904.44,5656.92,Standard
ORD-1036,2024-01-09,East,Consumer,Furniture,Sofa Set,1,22184.66,0.0,22184.66,3141.51,Standard
ORD-1037,2024-01-09,North,Consumer,Furniture,Sofa Set,1,19384.87,0.1,17446.38,3675.8,Same Day
ORD-1038,2024-01-09,North,Consumer,Furniture,Filing Cabinet,1,5585.31,0.0,5585.31,935.32,Standard
ORD-1039,2024-01-10,West,Small Business,Home Appliances,Room Heater,2,2708.91,0.05,5146.94,838.18,Express
ORD-1040,2024-01-10,West,Corporate,Office Supplies,Whiteboard,1,1531.53,0.0,1531.53,446.38,Express
ORD-1041,2024-01-10,North,Consumer,Office Supplies,Notebook Pack,1,215.03,0.1,193.53,52.7,Express
ORD-1042,2024-01-10,North,Consumer,Furniture,Executive Desk,1,10668.25,0.0,10668.25,1832.75,Express
ORD-1043,2024-01-10,North,Corporate,Furniture,Filing Cabinet,4,5369.06,0.0,21476.26,4459.36,Express
ORD-1044,2024-01-11,East,Consumer,Office Supplies,Stapler,1,168.84,0.0,168.84,61.77,Standard
ORD-1045,2024-01-11,North,Consumer,Office Supplies,Whiteboard,3,1637.15,0.05,4665.88,1469.03,Same Day
ORD-1046,2024-01-11,East,Corporate,Furniture,Bookshelf,3,3394.03,0.0,10182.08,2271.55,Standard
ORD-1047,2024-01-11,West,Consumer,Technology,Laptop,1,50258.38,0.2,40206.71,6384.95,Express
ORD-1048,2024-01-11,West,Small Business,Technology,Smartphone,1,21810.74,0.15,18539.13,1940.31,Standard
ORD-1049,2024-01-11,North,Corporate,Furniture,Sofa Set,2,20214.67,0.15,34364.94,6501.46,Express
ORD-1050,2024-01-12,North,Consumer,Office Supplies,Whiteboard,1,1488.22,0.0,1488.22,419.31,Standard
ORD-1051,2024-01-12,East,Corporate,Technology,Monitor 24in,1,9255.1,0.0,9255.1,1321.97,Standard
ORD-1052,2024-01-12,West,Consumer,Home Appliances,Mixer Grinder,1,3673.38,0.05,3489.71,869.97,Same Day
ORD-1053,2024-01-12,North,Corporate,Furniture,Sofa Set,1,20139.54,0.0,20139.54,4623.7,Standard
ORD-1054,2024-01-12,East,Small Business,Home Appliances,Electric Kettle,1,1527.5,0.15,1298.38,253.92,Standard
ORD-1055,2024-01-13,North,Consumer,Office Supplies,Desk Organizer,1,416.62,0.0,416.62,129.62,Standard
ORD-1056,2024-01-13,East,Consumer,Technology,Tablet,2,16909.94,0.1,30437.9,4606.52,Same Day
ORD-1057,2024-01-13,North,Small Business,Furniture,Executive Desk,1,9741.45,0.1,8767.31,1560.91,Standard
ORD-1058,2024-01-13,North,Corporate,Office Supplies,Ballpoint Pens,3,96.44,0.1,260.39,82.51,Standard
ORD-1059,2024-01-14,East,Corporate,Furniture,Study Table,2,3691.18,0.1,6644.12,1366.75,Express
ORD-1060,2024-01-14,North,Consumer,Office Supplies,Whiteboard,3,1646.58,0.0,4939.73,1665.53,Standard
ORD-1061,2024-01-15,West,Consumer,Home Appliances,Electric Kettle,3,1310.28,0.1,3537.75,739.37,Express
ORD-1062,2024-01-15,South,Corporate,Office Supplies,Ballpoint Pens,2,97.43,0.05,185.12,68.13,Express
ORD-1063,2024-01-15,East,Consumer,Office Supplies,Desk Organizer,2,442.21,0.05,840.2,292.7,Standard
ORD-1064,2024-01-15,East,Corporate,Home Appliances,Room Heater,1,2786.1,0.1,2507.49,392.73,Express
ORD-1065,2024-01-16,East,Consumer,Technology,Printer,1,7791.96,0.0,7791.96,1244.9,Standard
ORD-1066,2024-01-16,North,Consumer,Furniture,Filing Cabinet,1,5616.87,0.0,5616.87,838.2,Express
ORD-1067,2024-01-17,North,Consumer,Technology,Bluetooth Speaker,1,1722.85,0.0,1722.85,241.79,Standard
ORD-1068,2024-01-18,West,Consumer,Technology,Printer,2,8015.62,0.0,16031.24,1778.42,Standard
ORD-1069,2024-01-18,South,Corporate,Home Appliances,Vacuum Cleaner,1,9279.99,0.0,9279.99,1626.26,Standard
ORD-1070,2024-01-18,East,Small Business,Technology,Laptop,1,51652.74,0.0,51652.74,6700.21,Express
ORD-1071,2024-01-18,South,Consumer,Home Appliances,Room Heater,1,2545.27,0.0,2545.27,608.45,Standard
ORD-1072,2024-01-19,East,Corporate,Furniture,Executive Desk,1,9611.26,0.15,8169.57,1558.39,Standard
ORD-1073,2024-01-19,South,Consumer,Home Appliances,Vacuum Cleaner,1,8452.93,0.0,8452.93,1680.28,Same Day
ORD-1074,2024-01-19,North,Corporate,Technology,Printer,2,7062.64,0.0,14125.27,2255.75,Standard
ORD-1075,2024-01-19,North,Consumer,Home Appliances,Vacuum Cleaner,2,9390.24,0.0,18780.48,3138.01,Same Day
ORD-1076,2024-01-19,West,Corporate,Office Supplies,Whiteboard,1,1713.51,0.0,1713.51,628.51,Standard
ORD-1077,2024-01-20,West,Consumer,Technology,Printer,1,7613.44,0.05,7232.77,1047.97,Standard
ORD-1078,2024-01-20,South,Corporate,Furniture,Executive Desk,1,10357.04,0.05,9839.19,1743.09,Standard
ORD-1079,2024-01-20,West,Consumer,Home Appliances,Room Heater,2,2583.19,0.15,4391.42,1093.87,Express
ORD-1080,2024-01-20,North,Consumer,Furniture,Executive Desk,1,10500.99,0.0,10500.99,2200.24,Express
ORD-1081,2024-01-20,West,Small Business,Office Supplies,Notebook Pack,1,227.5,0.15,193.37,58.32,Standard
ORD-1082,2024-01-20,South,Corporate,Technology,Bluetooth Speaker,1,1805.91,0.0,1805.91,297.54,Standard
ORD-1083,2024-01-21,South,Corporate,Furniture,Study Table,1,3881.35,0.05,3687.28,752.74,Express
ORD-1084,2024-01-21,West,Corporate,Furniture,Filing Cabinet,2,5107.12,0.0,10214.24,2057.21,Express
ORD-1085,2024-01-21,West,Consumer,Furniture,Sofa Set,1,22519.59,0.0,22519.59,3822.22,Express
ORD-1086,2024-01-21,North,Consumer,Technology,Wireless Mouse,2,673.01,0.1,1211.43,174.78,Express
ORD-1087,2024-01-21,East,Small Business,Technology,Printer,1,7303.02,0.0,7303.02,867.55,Same Day
ORD-1088,2024-01-21,North,Corporate,Technology,Printer,1,7016.77,0.15,5964.26,1092.72,Standard
ORD-1089,2024-01-21,West,Corporate,Furniture,Filing Cabinet,1,5717.65,0.0,5717.65,782.7,Standard
ORD-1090,2024-01-22,West,Consumer,Technology,Monitor 24in,4,9853.22,0.0,39412.86,7176.46,Standard
ORD-1091,2024-01-23,North,Corporate,Technology,Monitor 24in,1,9150.42,0.15,7777.86,1417.87,Express
ORD-1092,2024-01-23,South,Corporate,Technology,Laptop,1,48069.08,0.0,48069.08,5174.09,Standard
ORD-1093,2024-01-23,North,Consumer,Technology,Laptop,2,46558.35,0.0,93116.71,10360.92,Standard
ORD-1094,2024-01-23,North,Small Business,Office Supplies,Stapler,1,168.37,0.2,134.69,43.13,Standard
ORD-1095,2024-01-24,South,Consumer,Office Supplies,Whiteboard,1,1712.93,0.05,1627.28,487.21,Express
ORD-1096,2024-01-24,South,Corporate,Office Supplies,Whiteboard,1,1633.18,0.0,1633.18,470.67,Standard
ORD-1097,2024-01-24,West,Consumer,Home Appliances,Room Heater,1,2583.29,0.0,2583.29,427.83,Standard
ORD-1098,2024-01-25,North,Corporate,Home Appliances,Vacuum Cleaner,1,8998.0,0.15,7648.3,1573.04,Standard
ORD-1099,2024-01-25,North,Consumer,Technology,Wireless Mouse,2,695.14,0.0,1390.27,218.01,Express
ORD-1100,2024-01-25,South,Consumer,Home Appliances,Mixer Grinder,1,3578.37,0.1,3220.54,522.62,Standard
ORD-1101,2024-01-26,East,Consumer,Home Appliances,Air Fryer,1,6032.62,0.15,5127.73,1160.72,Standard
ORD-1102,2024-01-26,North,Corporate,Home Appliances,Vacuum Cleaner,1,8384.46,0.05,7965.23,1602.97,Same Day
ORD-1103,2024-01-26,East,Corporate,Technology,Monitor 24in,1,9846.64,0.2,7877.32,1123.06,Standard
ORD-1104,2024-01-26,East,Corporate,Technology,Tablet,1,16534.0,0.05,15707.3,1519.17,Express
ORD-1105,2024-01-26,East,Small Business,Furniture,Sofa Set,1,19837.43,0.15,16861.81,3665.57,Standard
ORD-1106,2024-01-26,North,Corporate,Technology,Wireless Mouse,1,696.06,0.0,696.06,116.31,Standard
ORD-1107,2024-01-26,North,Consumer,Office Supplies,Notebook Pack,1,226.28,0.0,226.28,69.9,Express
ORD-1108,2024-01-26,South,Small Business,Technology,Wireless Mouse,1,709.07,0.0,709.07,131.47,Express
ORD-1109,2024-01-27,East,Consumer,Office Supplies,Whiteboard,1,1568.26,0.1,1411.44,396.13,Standard
ORD-1110,2024-01-27,South,Consumer,Technology,Monitor 24in,1,9225.23,0.0,9225.23,902.01,Express
ORD-1111,2024-01-27,East,Consumer,Technology,Smartphone,1,20602.67,0.15,17512.27,1815.7,Standard
ORD-1112,2024-01-28,West,Small Business,Furniture,Study Table,1,3345.43,0.1,3010.89,404.71,Express
ORD-1113,2024-01-28,West,Consumer,Office Supplies,Sticky Notes,2,55.57,0.1,100.02,29.98,Standard
ORD-1114,2024-01-28,North,Consumer,Office Supplies,Sticky Notes,2,55.79,0.05,106.01,34.16,Express
ORD-1115,2024-01-28,North,Corporate,Technology,Laptop,1,44824.88,0.1,40342.39,5001.95,Standard
ORD-1116,2024-01-28,South,Corporate,Home Appliances,Room Heater,1,2701.65,0.1,2431.49,491.2,Express
ORD-1117,2024-01-28,East,Consumer,Technology,Tablet,2,14319.34,0.15,24342.88,3478.44,Standard
ORD-1118,2024-01-28,North,Consumer,Furniture,Bookshelf,1,2965.66,0.05,2817.37,529.88,Standard
ORD-1119,2024-01-28,West,Corporate,Technology,Smartphone,1,23160.83,0.0,23160.83,2340.34,Standard
ORD-1120,2024-01-29,North,Small Business,Office Supplies,Sticky Notes,1,62.54,0.0,62.54,22.83,Standard
ORD-1121,2024-01-29,North,Consumer,Furniture,Sofa Set,3,21086.78,0.05,60097.32,8816.48,Express
ORD-1122,2024-01-29,North,Consumer,Home Appliances,Air Fryer,1,6631.0,0.0,6631.0,1025.78,Express
ORD-1123,2024-01-30,West,Small Business,Home Appliances,Electric Kettle,4,1331.82,0.0,5327.29,1203.03,Same Day
ORD-1124,2024-01-30,North,Corporate,Office Supplies,Stapler,1,183.0,0.05,173.85,57.02,Standard
ORD-1125,2024-01-30,South,Consumer,Furniture,Executive Desk,1,9094.28,0.15,7730.14,1032.3,Standard
ORD-1126,2024-01-30,East,Corporate,Office Supplies,Ballpoint Pens,1,88.84,0.0,88.84,30.41,Standard
ORD-1127,2024-01-31,West,Small Business,Technology,Tablet,2,15699.86,0.15,26689.76,3926.91,Standard
ORD-1128,2024-01-31,East,Corporate,Technology,Wireless Mouse,2,691.3,0.1,1244.34,217.83,Standard
ORD-1129,2024-02-01,North,Corporate,Home Appliances,Room Heater,2,2392.52,0.05,4545.8,1025.82,Standard
ORD-1130,2024-02-01,North,Consumer,Technology,Smartphone,4,22741.98,0.0,90967.93,13954.53,Express
ORD-1131,2024-02-01,West,Consumer,Home Appliances,Vacuum Cleaner,1,8780.67,0.1,7902.6,1495.29,Standard
ORD-1132,2024-02-01,West,Consumer,Office Supplies,Ballpoint Pens,1,83.9,0.0,83.9,28.59,Same Day
ORD-1133,2024-02-01,East,Consumer,Home Appliances,Electric Kettle,1,1502.81,0.2,1202.25,261.62,Standard
ORD-1134,2024-02-01,East,Consumer,Technology,Smartphone,1,20327.61,0.0,20327.61,2822.78,Express
ORD-1135,2024-02-01,North,Consumer,Office Supplies,Whiteboard,1,1743.96,0.0,1743.96,619.84,Standard
ORD-1136,2024-02-01,West,Corporate,Office Supplies,Ballpoint Pens,1,93.82,0.1,84.44,25.11,Standard
ORD-1137,2024-02-01,West,Consumer,Office Supplies,Stapler,2,193.38,0.2,309.41,107.06,Express
ORD-1138,2024-02-01,West,Consumer,Furniture,Sofa Set,1,20125.54,0.0,20125.54,3927.83,Express
ORD-1139,2024-02-02,West,Consumer,Furniture,Bookshelf,3,3050.82,0.05,8694.85,1131.4,Same Day
ORD-1140,2024-02-02,North,Corporate,Technology,Laptop,1,48407.38,0.0,48407.38,7173.84,Standard
ORD-1141,2024-02-02,East,Consumer,Home Appliances,Mixer Grinder,1,3412.33,0.1,3071.1,582.14,Same Day
ORD-1142,2024-02-02,East,Consumer,Office Supplies,Ballpoint Pens,2,95.43,0.0,190.87,60.71,Express
ORD-1143,2024-02-02,North,Consumer,Home Appliances,Vacuum Cleaner,1,8860.05,0.0,8860.05,1635.58,Standard
ORD-1144,2024-02-02,North,Consumer,Technology,Wireless Mouse,1,639.02,0.0,639.02,62.53,Standard
ORD-1145,2024-02-02,South,Small Business,Home Appliances,Electric Kettle,1,1495.0,0.0,1495.0,324.47,Standard
ORD-1146,2024-02-02,East,Corporate,Technology,Wireless Mouse,3,604.08,0.05,1721.63,277.02,Standard
ORD-1147,2024-02-02,West,Corporate,Technology,Wireless Mouse,1,654.67,0.1,589.21,85.61,Express
ORD-1148,2024-02-03,South,Corporate,Technology,Bluetooth Speaker,1,1811.29,0.05,1720.72,211.48,Standard
ORD-1149,2024-02-03,South,Consumer,Office Supplies,Notebook Pack,1,222.13,0.05,211.02,72.15,Express
ORD-1150,2024-02-03,South,Corporate,Home Appliances,Electric Kettle,1,1389.62,0.0,1389.62,266.58,Standard
ORD-1151,2024-02-04,South,Consumer,Furniture,Sofa Set,1,22597.38,0.05,21467.51,3732.37,Same Day
ORD-1152,2024-02-04,South,Corporate,Home Appliances,Mixer Grinder,2,3528.87,0.2,5646.19,1007.2,Standard
ORD-1153,2024-02-04,South,Consumer,Technology,Smartphone,1,23312.96,0.0,23312.96,3501.27,Express
ORD-1154,2024-02-04,North,Small Business,Technology,Bluetooth Speaker,2,1815.5,0.0,3631.0,642.96,Standard
ORD-1155,2024-02-04,East,Corporate,Office Supplies,Ballpoint Pens,1,93.36,0.0,93.36,28.93,Express
ORD-1156,2024-02-05,East,Consumer,Furniture,Office Chair,1,4042.45,0.0,4042.45,594.14,Same Day
ORD-1157,2024-02-06,North,Consumer,Furniture,Office Chair,1,4133.69,0.05,3927.0,817.52,Standard
ORD-1158,2024-02-06,West,Corporate,Home Appliances,Vacuum Cleaner,1,8273.28,0.0,8273.28,1288.22,Express
ORD-1159,2024-02-06,West,Consumer,Furniture,Sofa Set,1,22850.05,0.0,22850.05,4129.54,Standard
ORD-1160,2024-02-06,East,Consumer,Office Supplies,Notebook Pack,1,203.09,0.0,203.09,74.6,Standard
ORD-1161,2024-02-06,South,Corporate,Technology,Laptop,1,45366.59,0.0,45366.59,5479.97,Standard
ORD-1162,2024-02-07,North,Consumer,Technology,Wireless Mouse,1,675.41,0.2,540.33,68.85,Same Day
ORD-1163,2024-02-07,North,Small Business,Office Supplies,Desk Organizer,2,423.16,0.1,761.69,275.63,Express
ORD-1164,2024-02-07,North,Corporate,Furniture,Office Chair,1,3944.58,0.1,3550.13,816.32,Standard
ORD-1165,2024-02-07,South,Small Business,Furniture,Study Table,2,3370.63,0.0,6741.26,949.92,Same Day
ORD-1166,2024-02-08,North,Consumer,Technology,Laptop,1,50168.84,0.0,50168.84,6766.24,Standard
ORD-1167,2024-02-08,East,Consumer,Office Supplies,Stapler,1,171.06,0.05,162.5,56.21,Standard
ORD-1168,2024-02-08,South,Small Business,Technology,Monitor 24in,1,8506.46,0.0,8506.46,1088.99,Standard
ORD-1169,2024-02-08,East,Consumer,Furniture,Executive Desk,1,9985.17,0.1,8986.65,1811.25,Standard
ORD-1170,2024-02-08,North,Consumer,Technology,Printer,1,8220.51,0.0,8220.51,1501.92,Standard
ORD-1171,2024-02-08,North,Consumer,Office Supplies,Ballpoint Pens,1,92.8,0.05,88.16,29.71,Standard
ORD-1172,2024-02-08,East,Corporate,Office Supplies,Ballpoint Pens,2,89.28,0.2,142.85,50.33,Standard
ORD-1173,2024-02-08,North,Small Business,Technology,Printer,1,7395.94,0.1,6656.35,722.37,Express
ORD-1174,2024-02-08,West,Consumer,Home Appliances,Vacuum Cleaner,1,8164.77,0.05,7756.53,1901.44,Express
ORD-1175,2024-02-09,West,Consumer,Technology,Bluetooth Speaker,2,1745.04,0.1,3141.07,415.8,Standard
ORD-1176,2024-02-09,West,Corporate,Technology,Bluetooth Speaker,1,1705.57,0.0,1705.57,301.76,Standard
ORD-1177,2024-02-09,North,Consumer,Furniture,Office Chair,1,4322.96,0.05,4106.81,629.14,Standard
ORD-1178,2024-02-09,East,Consumer,Office Supplies,Notebook Pack,1,226.04,0.1,203.44,63.94,Standard
ORD-1179,2024-02-09,East,Consumer,Technology,Laptop,2,49371.82,0.0,98743.63,17828.41,Standard
ORD-1180,2024-02-09,North,Consumer,Technology,Tablet,1,15162.21,0.0,15162.21,1902.85,Express
ORD-1181,2024-02-10,North,Corporate,Furniture,Sofa Set,1,21890.9,0.0,21890.9,3845.92,Standard
ORD-1182,2024-02-10,East,Small Business,Home Appliances,Electric Kettle,1,1472.12,0.05,1398.52,218.19,Express
ORD-1183,2024-02-11,East,Consumer,Home Appliances,Room Heater,2,2825.92,0.0,5651.84,1073.46,Express
ORD-1184,2024-02-11,North,Corporate,Technology,Wireless Mouse,1,676.57,0.0,676.57,78.28,Express
ORD-1185,2024-02-11,East,Consumer,Technology,Wireless Mouse,2,680.92,0.0,1361.85,163.85,Express
ORD-1186,2024-02-11,South,Consumer,Office Supplies,Desk Organizer,1,455.29,0.1,409.76,122.1,Standard
ORD-1187,2024-02-11,West,Consumer,Furniture,Filing Cabinet,1,5518.71,0.0,5518.71,994.0,Express
ORD-1188,2024-02-12,South,Consumer,Technology,Laptop,1,50164.38,0.0,50164.38,9408.88,Standard
ORD-1189,2024-02-12,West,Consumer,Technology,Bluetooth Speaker,2,1813.81,0.05,3446.24,573.73,Express
ORD-1190,2024-02-12,South,Consumer,Home Appliances,Air Fryer,1,5780.08,0.0,5780.08,945.14,Standard
ORD-1191,2024-02-12,North,Corporate,Furniture,Filing Cabinet,1,5878.23,0.15,4996.49,788.32,Standard
ORD-1192,2024-02-12,North,Consumer,Furniture,Study Table,1,3562.43,0.05,3384.31,504.87,Express
ORD-1193,2024-02-12,South,Corporate,Furniture,Executive Desk,1,9775.11,0.0,9775.11,1343.72,Express
ORD-1194,2024-02-13,West,Corporate,Technology,Wireless Mouse,1,659.66,0.0,659.66,67.99,Standard
ORD-1195,2024-02-13,South,Corporate,Home Appliances,Air Fryer,1,6241.5,0.0,6241.5,1177.82,Standard
ORD-1196,2024-02-13,North,Consumer,Furniture,Sofa Set,1,20302.09,0.1,18271.88,2625.87,Standard
ORD-1197,2024-02-13,East,Consumer,Technology,Laptop,1,45878.12,0.0,45878.12,4324.62,Express
ORD-1198,2024-02-13,North,Corporate,Office Supplies,Stapler,2,168.78,0.05,320.68,91.4,Standard
ORD-1199,2024-02-14,West,Consumer,Home Appliances,Mixer Grinder,1,3705.01,0.1,3334.51,525.66,Standard
ORD-1200,2024-02-14,West,Consumer,Furniture,Office Chair,1,4345.72,0.1,3911.15,858.54,Same Day
ORD-1201,2024-02-14,North,Small Business,Technology,Wireless Mouse,2,610.37,0.2,976.59,131.18,Standard
ORD-1202,2024-02-14,North,Consumer,Technology,Wireless Mouse,1,606.34,0.0,606.34,112.57,Express
ORD-1203,2024-02-14,South,Consumer,Home Appliances,Mixer Grinder,3,3704.7,0.1,10002.68,1855.34,Same Day
ORD-1204,2024-02-15,North,Small Business,Office Supplies,Ballpoint Pens,2,92.92,0.0,185.84,54.0,Standard
ORD-1205,2024-02-15,North,Consumer,Office Supplies,Stapler,3,181.1,0.15,461.79,139.56,Standard
ORD-1206,2024-02-15,South,Small Business,Furniture,Filing Cabinet,1,5695.13,0.1,5125.61,1002.81,Express
ORD-1207,2024-02-15,North,Consumer,Technology,Printer,1,7506.36,0.05,7131.04,918.94,Standard
ORD-1208,2024-02-16,South,Corporate,Home Appliances,Mixer Grinder,2,3690.38,0.0,7380.77,1664.39,Express
ORD-1209,2024-02-16,West,Corporate,Home Appliances,Mixer Grinder,1,3160.96,0.0,3160.96,712.22,Standard
ORD-1210,2024-02-16,East,Corporate,Home Appliances,Electric Kettle,1,1311.15,0.2,1048.92,208.57,Standard
ORD-1211,2024-02-16,West,Corporate,Home Appliances,Room Heater,1,2629.91,0.0,2629.91,543.08,Standard
